
Episode 253: steps = 199, reward = 0, avg_plan_time = 0.034093361953273414, avg_dist = 0.062012151275358286
Episode 254: steps = 199, reward = 0, avg_plan_time = 0.0338838212005794, avg_dist = 0.035291995540183516
Episode 255: steps = 199, reward = 0, avg_plan_time = 0.03424811645410955, avg_dist = 0.026649695777322
Episode 256: steps = 199, reward = 0, avg_plan_time = 0.03422825326211751, avg_dist = 0.03721367083664938
Episode 257: steps = 20, reward = 100, avg_plan_time = 0.029636857765061513, avg_dist = 0.09293623483706666
Episode 258: steps = 21, reward = 100, avg_plan_time = 0.031904189932075416, avg_dist = 0.07351259594590809
Episode 259: steps = 199, reward = 0, avg_plan_time = 0.03417902084998786, avg_dist = 0.03183724221041156
Episode 260: steps = 15, reward = 100, avg_plan_time = 0.03776390047278255, avg_dist = 0.04699546416630482
Episode 261: steps = 17, reward = 100, avg_plan_time = 0.04200070278926028, avg_dist = 0.08972638198101027
Episode 262: steps = 199, reward = 0, avg_plan_time = 0.03395965388044715, avg_dist = 0.03250460509070365
Episode 263: steps = 20, reward = 100, avg_plan_time = 0.035831981737698824, avg_dist = 0.09547028573547303
Episode 264: steps = 199, reward = 0, avg_plan_time = 0.03213812173344195, avg_dist = 0.03536756653544819
Episode 265: steps = 24, reward = 100, avg_plan_time = 0.0338015728443861, avg_dist = 0.1810805889595043
Episode 266: steps = 20, reward = 100, avg_plan_time = 0.03296543391687529, avg_dist = 0.09544251160442502
Episode 267: steps = 20, reward = 100, avg_plan_time = 0.031741325344358175, avg_dist = 0.0932338026347591
Episode 268: steps = 19, reward = 100, avg_plan_time = 0.03237371314316988, avg_dist = 0.08945983828961598
Episode 269: steps = 17, reward = 100, avg_plan_time = 0.03512462580369578, avg_dist = 0.08687375086491061
